Shape,Clarity,Color,Shape-Color-Clarity,Begin Size,End Size,List,Date
PS,VS2,J,PS-J-VS2-0.18,0.18,0.22,850,7/5/2024
PS,SI1,J,PS-J-SI1-0.18,0.18,0.22,750,7/5/2024
PS,SI2,J,PS-J-SI2-0.18,0.18,0.22,650,7/5/2024
PS,SI3,J,PS-J-SI3-0.18,0.18,0.22,540,7/5/2024
PS,I1,J,PS-J-I1-0.18,0.18,0.22,450,7/5/2024
PS,I2,J,PS-J-I2-0.18,0.18,0.22,350,7/5/2024
PS,I3,J,PS-J-I3-0.18,0.18,0.22,270,7/5/2024
PS,IF,K,PS-K-IF-0.18,0.18,0.22,770,7/5/2024
PS,VVS1,K,PS-K-VVS1-0.18,0.18,0.22,770,7/5/2024
PS,VVS2,K,PS-K-VVS2-0.18,0.18,0.22,770,7/5/2024
PS,VS1,K,PS-K-VS1-0.18,0.18,0.22,650,7/5/2024
PS,VS2,K,PS-K-VS2-0.18,0.18,0.22,650,7/5/2024
PS,SI1,K,PS-K-SI1-0.18,0.18,0.22,570,7/5/2024
PS,SI2,K,PS-K-SI2-0.18,0.18,0.22,490,7/5/2024
PS,SI3,K,PS-K-SI3-0.18,0.18,0.22,420,7/5/2024
PS,I1,K,PS-K-I1-0.18,0.18,0.22,350,7/5/2024
PS,I2,K,PS-K-I2-0.18,0.18,0.22,270,7/5/2024
PS,I3,K,PS-K-I3-0.18,0.18,0.22,210,7/5/2024
PS,IF,L,PS-L-IF-0.18,0.18,0.22,770,7/5/2024
PS,VVS1,L,PS-L-VVS1-0.18,0.18,0.22,770,7/5/2024
PS,VVS2,L,PS-L-VVS2-0.18,0.18,0.22,770,7/5/2024
PS,VS1,L,PS-L-VS1-0.18,0.18,0.22,650,7/5/2024
PS,VS2,L,PS-L-VS2-0.18,0.18,0.22,650,7/5/2024
PS,SI1,L,PS-L-SI1-0.18,0.18,0.22,570,7/5/2024
PS,SI2,L,PS-L-SI2-0.18,0.18,0.22,490,7/5/2024
PS,SI3,L,PS-L-SI3-0.18,0.18,0.22,420,7/5/2024
PS,I1,L,PS-L-I1-0.18,0.18,0.22,350,7/5/2024
PS,I2,L,PS-L-I2-0.18,0.18,0.22,270,7/5/2024
PS,I3,L,PS-L-I3-0.18,0.18,0.22,210,7/5/2024
PS,IF,M,PS-M-IF-0.18,0.18,0.22,600,7/5/2024
PS,VVS1,M,PS-M-VVS1-0.18,0.18,0.22,600,7/5/2024
PS,VVS2,M,PS-M-VVS2-0.18,0.18,0.22,600,7/5/2024
PS,VS1,M,PS-M-VS1-0.18,0.18,0.22,510,7/5/2024
PS,VS2,M,PS-M-VS2-0.18,0.18,0.22,510,7/5/2024
PS,SI1,M,PS-M-SI1-0.18,0.18,0.22,430,7/5/2024
PS,SI2,M,PS-M-SI2-0.18,0.18,0.22,370,7/5/2024
PS,SI3,M,PS-M-SI3-0.18,0.18,0.22,320,7/5/2024
PS,I1,M,PS-M-I1-0.18,0.18,0.22,260,7/5/2024
PS,I2,M,PS-M-I2-0.18,0.18,0.22,200,7/5/2024
PS,I3,M,PS-M-I3-0.18,0.18,0.22,150,7/5/2024
PS,IF,N,PS-N-IF-0.18,0.18,0.22,600,7/5/2024
